Rank	Full.Journal.Title	Issn	Total.Cites	Journal.Impact.Factor	5-Year.Impact.Factor	Eigenfactor.Score
11719	"Feministische Studien"	0723-5186	19	0.036	0.043	0.000000
1172	"Transportmetrica"	1812-8602	328	3.773	2.684	0.001140
11720	"Journal of African Law"	0021-8553	49	0.034	0.057	0.000030
11721	"Psychoanalytic Study of the Child"	0079-7308	319	0.033	0.098	0.000060
11722	"DEUTSCHE LEBENSMITTEL-RUNDSCHAU"	0012-0413	207	0.032	0.107	0.000170
11722	"Revista de la Facultad de Agronomia de la Universidad del Zulia"	0378-7818	58	0.032	0.071	0.000020
11724	"Atlantis-Journal of the Spanish Association of Anglo-American Studies"	0210-6124	22	0.030	0.074	0.000020
11725	"Buffalo Bulletin"	0125-6726	68	0.027	0.073	0.000190
11726	"Scandia"	0036-5483	31	0.026	0.065	0.000000
11727	"REVUE D ETUDES COMPARATIVES EST-OUEST"	0338-0599	18	0.025	0.050	0.000020
11728	"AEROSPACE AMERICA"	0740-722X	65	0.023	0.034	0.000320
11728	"Historia y Politica"	1575-0361	24	0.023	0.072	0.000070
11728	"Teknik Dergi"	1300-3453	24	0.023	0.102	0.000050
11728	"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE"	0044-2380	4	0.023	0.038	0.000020
11732	"Medicina Veterinaria-Recife"	1809-4678	9	0.022	0.012	0.000010
11733	"EDN"	0012-7515	72	0.021	0.031	0.000080
11734	"TOPIA-Canadian Journal of Cultural Studies"	1206-0143	22	0.020	"Not Available"	0.000090
11735	"Convergencia-Revista de Ciencias Sociales"	1405-1435	24	0.019	0.072	0.000060
11736	"Amme Idaresi Dergisi"	1300-1795	30	0.018	0.030	0.000000
11736	"Kuwait Medical Journal"	0023-5776	40	0.018	0.028	0.000030
11736	"Revista Espanola de Linguistica Aplicada"	0213-2028	19	0.018	0.078	0.000050
11739	"ECONTENT"	1525-2531	21	0.016	0.041	0.000060
11739	"MOUVEMENT SOCIAL"	0027-2671	61	0.016	0.048	0.000070
11739	"NATURAL HISTORY"	0028-0712	371	0.016	0.058	0.000070
1174	"DENTAL MATERIALS"	0109-5641	"Not Available"	3.769	4.433	0.013380
1174	"EuroIntervention"	1774-024X	"Not Available"	3.769	3.329	0.015980
11742	"JCT COATINGSTECH"	1547-0083	44	0.014	0.027	0.000020
11743	"WOCHENBLATT FUR PAPIERFABRIKATION"	0043-7131	91	0.013	0.030	0.000050
11744	"Transylvanian Review"	1221-1249	15	0.012	0.024	0.000070
11745	"AMA-Agricultural Mechanization in Asia Africa and Latin America"	0084-5841	62	0.009	0.027	0.000040
11746	"Acta Linguistica Hungarica"	1216-8076	50	0.000	0.050	0.000040
11746	"Argos"	0254-1637	3	0.000	0.044	0.000010
11746	"Bollettino di Storia delle Scienze Matematiche"	0392-4432	10	0.000	0.100	0.000000
11746	"Britain and the World"	2043-8567	5	0.000	0.065	0.000050
11746	"Circulo de Linguistica Aplicada a la Comunicacion"	1576-4737	4	0.000	0.014	0.000010
11746	"Curriculum Matters"	1177-1828	2	0.000	0.000	0.000000
11746	"Dialectologia et Geolinguistica"	0942-4040	5	0.000	0.061	0.000000
11746	"ELECTRONICS WORLD"	1365-4675	33	0.000	0.008	0.000010
11746	"Feuillets de Radiologie"	0181-9801	28	0.000	0.078	0.000000
11746	"Gestion y Politica Publica"	1405-1079	26	0.000	0.111	0.000010
11746	"Gorteria"	0017-2294	39	0.000	0.108	0.000030
11746	"IPPOLOGIA"	1120-5776	22	0.000	0.075	0.000030
11746	"Journal of Spanish Cultural Studies"	1463-6204	40	0.000	0.057	0.000050
11746	"Kasmera"	0075-5222	14	0.000	0.088	0.000010
11746	"Labour History"	0023-6942	58	0.000	0.061	0.000040
11746	"London Journal"	0305-8034	63	0.000	0.217	0.000150
11746	"Modern Chinese Literature and Culture"	1520-9857	34	0.000	0.093	0.000020
11746	"Neuroforum"	0947-0875	5	0.000	0.048	0.000000
11746	"PSIKHOLOGICHESKII ZHURNAL"	0205-9592	11	0.000	0.010	0.000020
11746	"Reports on Mathematical Logic"	0137-2904	32	0.000	"Not Available"	0.000060
11746	"Revista de Nefrologia Dialisis y Trasplante"	0326-3428	4	0.000	0.031	0.000010
11746	"Revue d Histoire des Mathematiques"	1262-022X	17	0.000	"Not Available"	0.000080
11746	"Trends in Hearing"	2331-2165	3	0.000	0.667	0.000000
11746	"VOPROSY PSIKHOLOGII"	0042-8841	12	0.000	0.000	0.000000
1176	"JOURNAL OF MANAGEMENT STUDIES"	0022-2380	"Not Available"	3.763	5.883	0.012190
1177	"AGRICULTURAL AND FOREST METEOROLOGY"	0168-1923	"Not Available"	3.762	4.318	0.020300
1177	"BIOLOGICAL CONSERVATION"	0006-3207	"Not Available"	3.762	4.697	0.044190
1177	"EXPERIMENTAL DERMATOLOGY"	0906-6705	"Not Available"	3.762	3.459	0.011550
11770	"ACS Photonics"	2330-4022	211	"Not Available"	0.000060	
11770	"Advanced Materials Interfaces"	2196-7350	161	"Not Available"	0.000030	
11770	"Annals of Global Health"	2214-9996	9	"Not Available"	0.000000	
11770	"Annals of Surgical Treatment and Research"	2288-6575	13	"Not Available"	0.000000	
11770	"Annual Review of Organizational Psychology and Organizational Behavior"	2327-0608	7	"Not Available"	0.000000	
11770	"Annual Review of Statistics and Its Application"	2326-8298	16	"Not Available"	0.000000	
11770	"Applied Physics Reviews"	1931-9401	118	"Not Available"	0.000010	
11770	"Archives of Rheumatology"	1309-0291	4	"Not Available"	0.000000	
11770	"Arthritis & Rheumatology"	2326-5191	481	"Not Available"	0.000060	
11770	"Aslib Journal of Information Management"	2050-3806	3	"Not Available"	0.000000	
11770	"Austral Entomology"	2052-1758	16	"Not Available"	0.000000	
11770	"BRQ-Business Research Quarterly"	2340-9436	6	"Not Available"	0.000000	
11770	"ChemElectroChem"	2196-0216	258	"Not Available"	0.000090	
11770	"Environmental Science-Nano"	2051-8153	67	"Not Available"	0.000000	
11770	"European Poultry Science"	1612-9199	4	"Not Available"	0.000000	
11770	"IEEE-ACM Transactions on Audio Speech and Language Processing"	2329-9290	33	"Not Available"	0.000010	
11770	"International Journal of Precision Engineering and Manufacturing-Green Technology"	2288-6206	56	"Not Available"	0.000000	
11770	"Johnson Matthey Technology Review"	****-****	1	"Not Available"	0.000000	
11770	"Journal of Behavioral and Experimental Economics"	2214-8043	1	"Not Available"	0.000000	
11770	"Journal of Function Spaces"	2314-8896	15	"Not Available"	0.000	0.000000
11770	"Journal of Immunology Research"	2314-8861	77	"Not Available"	0.000010	
11770	"Journal of Logical and Algebraic Methods in Programming"	2352-2208	1	"Not Available"	0.000000	
11770	"Journal of Meteorological Research"	2095-6037	5	"Not Available"	0.000000	
11770	"Journal of Oral & Facial Pain and Headache"	2333-0384	14	"Not Available"	0.000000	
11770	"Journal of Transport & Health"	2214-1405	49	"Not Available"	0.000010	
11770	"Journal of Vibration Engineering & Technologies"	2321-3558	5	"Not Available"	0.000000	
11770	"Journal of the American Association of Nurse Practitioners"	2327-6886	48	"Not Available"	0.000090	
11770	"Journal of the Association for Information Science and Technology"	2330-1635	78	"Not Available"	0.000010	
11770	"Lancet Psychiatry"	2215-0374	81	"Not Available"	0.000000	
11770	"Language Cognition and Neuroscience"	2327-3798	38	"Not Available"	0.000000	
11770	"Latin American Economic Review"	2198-3526	1	"Not Available"	0.000000	
11770	"Materials Horizons"	2051-6347	259	"Not Available"	0.000040	
11770	"Metallurgical Research & Technology"	2271-3646	2	"Not Available"	0.000000	
11770	"Oncology Research and Treatment"	2296-5270	11	"Not Available"	0.000000	
11770	"Physical Review Applied"	2331-7019	62	"Not Available"	0.000000	
11770	"Plastic Surgery"	1195-2199	1	"Not Available"	0.000000	
11770	"Progress in Tumor Research"	0079-6263	3	"Not Available"	0.000000	
11770	"Reviews in Fisheries Science & Aquaculture"	2330-8249	4	"Not Available"	0.000000	
11770	"npj Primary Care Respiratory Medicine"	2055-1010	17	"Not Available"	0.000000	
118	"TRENDS IN NEUROSCIENCES"	0166-2236	"Not Available"	13.555	14.695	0.033630
1180	"RHINOLOGY"	0300-0729	"Not Available"	3.761	2.331	0.003520
1181	"INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH"	1049-8931	"Not Available"	3.759	4.022	0.003280
1183	"DESALINATION"	0011-9164	"Not Available"	3.756	3.778	0.041460
1183	"Integrative Biology"	1757-9694	"Not Available"	3.756	4.309	0.011640
1185	"HUMAN GENE THERAPY"	1043-0342	"Not Available"	3.755	3.413	0.009890
1186	"CEREBROVASCULAR DISEASES"	1015-9770	"Not Available"	3.754	3.451	0.014860
1187	"ARTHRITIS RESEARCH & THERAPY"	1478-6354	"Not Available"	3.753	4.658	0.029330
1188	"DISEASES OF THE COLON & RECTUM"	0012-3706	"Not Available"	3.749	3.685	0.019080
1189	"CONTACT DERMATITIS"	0105-1873	"Not Available"	3.747	3.492	0.004370
1189	"MOLECULAR HUMAN REPRODUCTION"	1360-9947	"Not Available"	3.747	3.956	0.008070
1189	"OBESITY SURGERY"	0960-8923	"Not Available"	3.747	3.435	0.016590
119	"NATURE STRUCTURAL & MOLECULAR BIOLOGY"	1545-9993	"Not Available"	13.309	12.479	0.114740
1192	"Future Medicinal Chemistry"	1756-8919	"Not Available"	3.744	3.789	0.008990
1192	"Reviews of Environmental Contamination and Toxicology"	0179-5953	"Not Available"	3.744	4.777	0.001970
1194	"EXPERT OPINION ON BIOLOGICAL THERAPY"	1471-2598	"Not Available"	3.743	3.222	0.010380
1195	"MICROCHIMICA ACTA"	0026-3672	"Not Available"	3.741	3.198	0.008680
1196	"Journal of Chemical Information and Modeling"	1549-9596	"Not Available"	3.738	3.916	0.019550
1196	"PALEOCEANOGRAPHY"	0883-8305	"Not Available"	3.738	4.083	0.012410
1198	"CANCER CYTOPATHOLOGY"	1934-662X	"Not Available"	3.737	3.971	0.003450
1198	"JOURNAL OF NEUROSURGERY"	0022-3085	"Not Available"	3.737	3.573	0.033060
12	"NATURE MATERIALS"	1476-1122	"Not Available"	36.503	44.046	0.197550
120	"Nature Reviews Endocrinology"	1759-5029	"Not Available"	13.281	12.409	0.019640
1200	"PHYSICAL REVIEW B"	1098-0121	"Not Available"	3.736	3.583	0.598020
1201	"Obesity"	1930-7381	"Not Available"	3.734	4.377	0.042550
1202	"JOURNAL OF HUMAN EVOLUTION"	0047-2484	"Not Available"	3.733	4.111	0.011400
1202	"PHYSICAL REVIEW C"	0556-2813	"Not Available"	3.733	3.439	0.071740
1205	"INFECTION AND IMMUNITY"	0019-9567	"Not Available"	3.731	3.891	0.050300
1206	"AIDS AND BEHAVIOR"	1090-7165	"Not Available"	3.728	4.012	0.022220
1206	"BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY"	1470-0328	"Not Available"	3.728	3.840	0.023220
1208	"JOURNAL OF SYSTEMATIC PALAEONTOLOGY"	1477-2019	760	3.727	3.353	0.002640
1208	"STEM CELLS AND DEVELOPMENT"	1547-3287	"Not Available"	3.727	4.055	0.019060
121	"JOURNAL OF CLINICAL INVESTIGATION"	0021-9738	"Not Available"	13.262	14.073	0.188270
1210	"Arabian Journal of Chemistry"	1878-5352	945	3.725	3.390	0.002330
1211	"ACTA DERMATO-VENEREOLOGICA"	0001-5555	"Not Available"	3.720	3.842	0.007020
1212	"Frontiers in Cellular and Infection Microbiology"	2235-2988	"Not Available"	3.719	3.704	0.005040
1212	"Gastric Cancer"	1436-3291	"Not Available"	3.719	4.692	0.005060
1214	"JOURNAL OF ENDOCRINOLOGY"	0022-0795	"Not Available"	3.718	3.896	0.012670
1215	"JOURNAL OF NEUROTRAUMA"	0897-7151	"Not Available"	3.714	4.056	0.020590
1216	"Molecular Ecology Resources"	1755-098X	"Not Available"	3.712	4.990	0.025580
1217	"CANADIAN JOURNAL OF CARDIOLOGY"	0828-282X	"Not Available"	3.711	3.549	0.012530
1218	"JOURNAL OF VEGETATION SCIENCE"	1100-9233	"Not Available"	3.709	3.752	0.009970
1219	"Journal of Physiotherapy"	1836-9553	326	3.708	3.337	0.001740
122	"STUDIES IN MYCOLOGY"	0166-0616	"Not Available"	13.250	11.912	0.003640
1220	"TOXICOLOGY AND APPLIED PHARMACOLOGY"	0041-008X	"Not Available"	3.705	4.069	0.025250
1221	"CATALYSIS COMMUNICATIONS"	1566-7367	"Not Available"	3.699	3.704	0.019940
1222	"CRITICAL REVIEWS IN IMMUNOLOGY"	1040-8401	"Not Available"	3.698	3.520	0.002510
1223	"Biomedical Materials"	1748-6041	"Not Available"	3.697	3.281	0.004960
1224	"INTERNATIONAL JOURNAL OF ANDROLOGY"	0105-6263	"Not Available"	3.695	3.265	0.006100
1225	"BEHAVIOR THERAPY"	0005-7894	"Not Available"	3.694	4.151	0.006750
1225	"Global Strategy Journal"	2042-5791	235	3.694	4.396	0.001390
1227	"Stem Cell Research"	1873-5061	"Not Available"	3.693	4.157	0.006230
1228	"CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES"	1040-8363	"Not Available"	3.692	5.547	0.001690
1228	"Mindfulness"	1868-8527	535	3.692	"Not Available"	0.001980
123	"FEMS MICROBIOLOGY REVIEWS"	0168-6445	"Not Available"	13.244	13.936	0.018740
1230	"PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY"	0278-5846	"Not Available"	3.689	3.797	0.018030
1230	"Wiley Interdisciplinary Reviews-Developmental Biology"	1759-7684	408	3.689	3.689	0.002000
1232	"AMERICAN POLITICAL SCIENCE REVIEW"	0003-0554	"Not Available"	3.688	5.954	0.023120
1233	"APOPTOSIS"	1360-8185	"Not Available"	3.685	3.948	0.009950
1234	"Information Fusion"	1566-2535	"Not Available"	3.681	3.459	0.001910
1234	"Polymers"	2073-4360	"Not Available"	3.681	3.904	0.004400
1236	"ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING"	1134-3060	798	3.680	5.485	0.003060
1236	"MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS"	0027-5107	"Not Available"	3.680	3.521	0.010530
1238	"JOURNAL OF BUSINESS VENTURING"	0883-9026	"Not Available"	3.678	5.305	0.007170
1238	"NEUROMOLECULAR MEDICINE"	1535-1084	"Not Available"	3.678	4.312	0.003840
124	"JAMA Internal Medicine"	2168-6106	"Not Available"	13.116	13.128	0.017550
1240	"LABORATORY INVESTIGATION"	0023-6837	"Not Available"	3.676	4.041	0.013500
1241	"AMERICAN ECONOMIC REVIEW"	0002-8282	"Not Available"	3.673	4.951	0.120710
1241	"CLINICAL TOXICOLOGY"	1556-3650	"Not Available"	3.673	3.156	0.008090
1243	"CLINICAL IMMUNOLOGY"	1521-6616	"Not Available"	3.672	3.554	0.014210
1244	"Briefings in Functional Genomics"	2041-2649	"Not Available"	3.670	3.565	0.004250
1244	"EUROPACE"	1099-5129	"Not Available"	3.670	2.830	0.022410
1246	"APPLIED AND ENVIRONMENTAL MICROBIOLOGY"	0099-2240	"Not Available"	3.668	4.359	0.108910
1247	"DIVERSITY AND DISTRIBUTIONS"	1366-9516	"Not Available"	3.667	5.355	0.016330
1248	"JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS"	0162-3257	"Not Available"	3.665	4.587	0.020500
1249	"PROGRESS IN PARTICLE AND NUCLEAR PHYSICS"	0146-6410	"Not Available"	3.662	2.848	0.007600
125	"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE"	1073-449X	"Not Available"	12.996	11.718	0.098420
125	"Nature Chemical Biology"	1552-4450	"Not Available"	12.996	14.273	0.063130
1250	"GENES BRAIN AND BEHAVIOR"	1601-1848	"Not Available"	3.661	3.662	0.008730
1251	"Clinics in Liver Disease"	1089-3261	"Not Available"	3.660	3.038	0.003410
1252	"BRITISH MEDICAL BULLETIN"	0007-1420	"Not Available"	3.658	4.420	0.004930
1253	"LEARNING & MEMORY"	1072-0502	"Not Available"	3.657	4.623	0.011190
1254	"Frontiers in Neuroscience"	1662-453X	"Not Available"	0.014770		
1254	"IEEE Transactions on Sustainable Energy"	1949-3029	"Not Available"	3.656	4.379	0.006660
1256	"TREE PHYSIOLOGY"	0829-318X	"Not Available"	3.655	3.787	0.010970
1257	"ANNALS OF BOTANY"	0305-7364	"Not Available"	3.654	4.338	0.025980
1257	"Geoscientific Model Development"	1991-959X	"Not Available"	3.654	5.212	0.012390
1257	"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION"	1089-778X	"Not Available"	3.654	6.290	0.008320
1257	"MEDICAL IMAGE ANALYSIS"	1361-8415	"Not Available"	3.654	4.454	0.008470
1257	"Molecular Pain"	1744-8069	"Not Available"	3.654	4.325	0.010310
1262	"NEUROBIOLOGY OF LEARNING AND MEMORY"	1074-7427	"Not Available"	3.652	3.914	0.012150
1264	"INTERNATIONAL JOURNAL OF PHARMACEUTICS"	0378-5173	"Not Available"	3.650	4.011	0.041370
1265	"Biomedical Optics Express"	2156-7085	"Not Available"	3.648	3.752	0.016330
1266	"JOURNAL OF HYDROMETEOROLOGY"	1525-755X	"Not Available"	3.645	4.220	0.014570
1266	"METHODS"	1046-2023	"Not Available"	3.645	3.851	0.019450
1268	"AGE AND AGEING"	0002-0729	"Not Available"	3.642	4.394	0.014200
1269	"AUTISM"	1362-3613	"Not Available"	3.639	3.829	0.003830
127	"TRENDS IN PLANT SCIENCE"	1360-1385	"Not Available"	12.929	14.673	0.032360
1270	"PROGRESS IN HISTOCHEMISTRY AND CYTOCHEMISTRY"	0079-6336	372	3.636	5.400	0.000580
1270	"TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS"	0020-2754	"Not Available"	3.636	4.309	0.006080
1272	"VASCULAR PHARMACOLOGY"	1537-1891	"Not Available"	3.635	2.974	0.004040
1273	"PERIODONTOLOGY 2000"	0906-6713	"Not Available"	3.632	4.289	0.003840
1274	"Cell and Bioscience"	2045-3701	458	3.630	3.443	0.002030
1275	"JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY"	0960-0760	"Not Available"	3.628	3.512	0.012690
1276	"Discovery Medicine"	1539-6509	"Not Available"	0.006850		
1276	"Frontiers in Human Neuroscience"	1662-5161	"Not Available"	3.626	4.086	0.031130
1278	"IEEE TRANSACTIONS ON IMAGE PROCESSING"	1057-7149	"Not Available"	3.625	4.482	0.040370
1279	"VACCINE"	0264-410X	"Not Available"	3.624	3.338	0.083270
128	"Annual Review of Medicine"	0066-4219	"Not Available"	12.928	13.452	0.013490
1280	"COMMUNICATIONS OF THE ACM"	0001-0782	"Not Available"	3.621	3.609	0.020290
1280	"CURRENT MOLECULAR MEDICINE"	1566-5240	"Not Available"	3.621	3.788	0.008230
1280	"TOXICOLOGY"	0300-483X	"Not Available"	3.621	3.810	0.015450
1283	"NEUROSURGERY"	0148-396X	"Not Available"	3.620	3.485	0.039520
1284	"JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL"	1381-1169	"Not Available"	3.615	3.732	0.018150
1285	"INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY"	1438-4221	"Not Available"	3.614	3.989	0.006510
1286	"JOURNAL OF ADOLESCENT HEALTH"	1054-139X	"Not Available"	3.612	4.050	0.023800
1288	"EDUCATIONAL PSYCHOLOGIST"	0046-1520	"Not Available"	3.611	5.137	0.003700
1288	"TUMOR BIOLOGY"	1010-4283	"Not Available"	3.611	3.404	0.010030
129	"ACS Nano"	1936-0851	"Not Available"	12.881	14.412	0.310210
1290	"ORAL ONCOLOGY"	1368-8375	"Not Available"	3.607	3.692	0.014330
1290	"PLANT SCIENCE"	0168-9452	"Not Available"	3.607	3.904	0.014620
1292	"PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS"	1433-8319	"Not Available"	3.606	4.331	0.004100
1293	"Economic Systems Research"	0953-5314	809	3.605	3.752	0.001920
1294	"JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS"	0022-5096	"Not Available"	3.598	4.169	0.018190
1295	"JOURNAL OF POLITICAL ECONOMY"	0022-3808	"Not Available"	3.593	5.687	0.025480
1296	"PLASMA SOURCES SCIENCE & TECHNOLOGY"	0963-0252	"Not Available"	3.591	3.080	0.010090
1297	"HEALTH PSYCHOLOGY"	0278-6133	"Not Available"	3.590	4.686	0.014190
1299	"AMERICAN JOURNAL OF NEURORADIOLOGY"	0195-6108	"Not Available"	3.589	3.870	0.036040
1299	"Clinical Implant Dentistry and Related Research"	1523-0899	"Not Available"	3.589	4.110	0.006730
1299	"JOURNAL OF COMPUTATIONAL CHEMISTRY"	0192-8651	"Not Available"	3.589	4.879	0.033610
13	"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION"	0098-7484	"Not Available"	35.289	31.026	0.260990
130	"Annual Review of Clinical Psychology"	1548-5943	"Not Available"	12.674	14.369	0.009760
1302	"NEUROGASTROENTEROLOGY AND MOTILITY"	1350-1925	"Not Available"	3.587	3.519	0.014490
1303	"Journal of Genetics and Genomics"	1673-8527	"Not Available"	3.585	2.849	0.004670
1303	"LEARNING AND INSTRUCTION"	0959-4752	"Not Available"	3.585	4.421	0.006450
1303	"Metallomics"	1756-5901	"Not Available"	3.585	3.980	0.008780
1306	"ASTROPARTICLE PHYSICS"	0927-6505	"Not Available"	3.584	3.103	0.010280
1307	"NEURAL PLASTICITY"	2090-5904	"Not Available"	3.582	3.631	0.004240
1308	"PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS"	0960-8974	805	3.579	5.088	0.000630
1309	"NEPHROLOGY DIALYSIS TRANSPLANTATION"	0931-0509	"Not Available"	3.577	3.457	0.047990
1310	"Current Opinion in Allergy and Clinical Immunology"	1528-4050	"Not Available"	3.574	3.583	0.007390
1310	"Journal of Functional Foods"	1756-4646	"Not Available"	3.574	3.859	0.004240
1312	"CELLULOSE"	0969-0239	"Not Available"	3.573	4.285	0.009940
1313	"MAGNETIC RESONANCE IN MEDICINE"	0740-3194	"Not Available"	3.571	3.751	0.038360
1314	"BONE MARROW TRANSPLANTATION"	0268-3369	"Not Available"	3.570	3.379	0.017170
1315	"COMPOSITES SCIENCE AND TECHNOLOGY"	0266-3538	"Not Available"	3.569	4.479	0.026680
1316	"FEMS MICROBIOLOGY ECOLOGY"	0168-6496	"Not Available"	3.568	4.087	0.019490
1316	"Frontiers in Neural Circuits"	1662-5110	"Not Available"	3.568	3.677	0.009190
1316	"International Journal of Polymeric Materials and Polymeric Biomaterials"	0091-4037	"Not Available"	3.568	2.376	0.001190
1319	"CELL AND TISSUE RESEARCH"	0302-766X	"Not Available"	3.565	3.407	0.015590
1319	"PROSTATE"	0270-4137	"Not Available"	3.565	3.474	0.013710
132	"Nature Reviews Gastroenterology & Hepatology"	1759-5045	"Not Available"	12.610	11.693	0.017180
1321	"JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS"	0165-2370	"Not Available"	3.564	3.898	0.011180
1322	"JOURNAL OF INTERNATIONAL BUSINESS STUDIES"	0047-2506	"Not Available"	3.563	6.067	0.010950
1323	"ORGANIC & BIOMOLECULAR CHEMISTRY"	1477-0520	"Not Available"	3.562	3.382	0.058290
1323	"POLYMER"	0032-3861	"Not Available"	3.562	3.910	0.050200
1325	"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS"	1059-0501	564	3.560	4.935	0.001070
1326	"NEW JOURNAL OF PHYSICS"	1367-2630	"Not Available"	3.558	3.664	0.129870
1326	"ORE GEOLOGY REVIEWS"	0169-1368	"Not Available"	3.558	4.070	0.005320
1328	"DIABETES-METABOLISM RESEARCH AND REVIEWS"	1520-7560	"Not Available"	3.553	3.416	0.008170
1329	"WATER RESOURCES RESEARCH"	0043-1397	"Not Available"	3.549	4.144	0.053560
133	"JNCI-Journal of the National Cancer Institute"	0027-8874	"Not Available"	12.583	13.584	0.062750
1330	"DEMENTIA AND GERIATRIC COGNITIVE DISORDERS"	1420-8008	"Not Available"	3.547	3.244	0.008180
1330	"DEVELOPMENTAL BIOLOGY"	0012-1606	"Not Available"	3.547	3.761	0.050080
1332	"AMERICAN JOURNAL OF SOCIOLOGY"	0002-9602	"Not Available"	3.545	5.326	0.011690
1332	"TALANTA"	0039-9140	"Not Available"	3.545	3.670	0.050280
1334	"Frontiers in Neuroanatomy"	1662-5129	"Not Available"	3.544	4.389	0.005230
1335	"Pain Physician"	1533-3159	"Not Available"	3.542	3.454	0.006900
1336	"BioEnergy Research"	1939-1234	"Not Available"	3.541	3.987	0.005260
1337	"Expert Opinion on Drug Discovery"	1746-0441	"Not Available"	3.539	2.768	0.005330
1338	"Immunity & Ageing"	1742-4933	538	3.538	"Not Available"	0.001360
1338	"NEUROTOXICITY RESEARCH"	1029-8428	"Not Available"	3.538	3.315	0.005180
134	"JOURNAL OF EXPERIMENTAL MEDICINE"	0022-1007	"Not Available"	12.515	13.244	0.120070
1340	"HYDROLOGY AND EARTH SYSTEM SCIENCES"	1027-5606	"Not Available"	3.535	4.292	0.028450
1341	"EXPERT OPINION ON PHARMACOTHERAPY"	1465-6566	"Not Available"	3.534	2.788	0.010420
1341	"Frontiers in Physiology"	1664-042X	"Not Available"	3.534	3.461	0.015300
1343	"BJU INTERNATIONAL"	1464-4096	"Not Available"	3.533	3.105	0.042370
1344	"CHEMICAL RESEARCH IN TOXICOLOGY"	0893-228X	"Not Available"	3.529	3.620	0.016860
1345	"Cell Division"	1747-1028	543	3.526	3.000	0.001850
1346	"EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE"	0940-1334	"Not Available"	3.525	3.194	0.005480
1347	"CHEMICAL GEOLOGY"	0009-2541	"Not Available"	3.524	4.102	0.036620
1348	"CANCER SCIENCE"	1347-9032	"Not Available"	3.523	3.819	0.025530
1348	"Frontiers in Bioscience-Landmark"	1093-9946	"Not Available"	3.523	3.200	0.014860
135	"CELL RESEARCH"	1001-0602	"Not Available"	12.413	11.187	0.034820
1350	"CURRENT CANCER DRUG TARGETS"	1568-0096	"Not Available"	3.522	3.572	0.006000
1351	"NITRIC OXIDE-BIOLOGY AND CHEMISTRY"	1089-8603	"Not Available"	3.521	3.447	0.005090
1352	"FUEL"	0016-2361	"Not Available"	3.520	4.091	0.045120
1353	"Deutsches Arzteblatt International"	1866-0452	"Not Available"	3.518	3.288	0.006420
1353	"JOURNAL OF EDUCATIONAL PSYCHOLOGY"	0022-0663	"Not Available"	3.518	5.305	0.014000
1355	"EXPERT REVIEW OF MOLECULAR DIAGNOSTICS"	1473-7159	"Not Available"	3.516	3.552	0.004930
1355	"Oxidative Medicine and Cellular Longevity"	1942-0900	"Not Available"	3.516	3.783	0.007170
1357	"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY"	1369-7412	"Not Available"	3.515	6.585	0.018390
1358	"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING"	0196-2892	"Not Available"	3.514	4.112	0.035130
1359	"CELL CALCIUM"	0143-4160	"Not Available"	3.513	3.821	0.009810
1359	"SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS"	1468-6996	"Not Available"	3.513	4.325	0.006980
136	"Alzheimers & Dementia"	1552-5260	"Not Available"	12.407	13.324	0.022130
1361	"JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY"	1226-086X	"Not Available"	3.512	3.021	0.008940
1362	"Neurodegenerative Diseases"	1660-2854	"Not Available"	3.511	3.121	0.004120
1363	"DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY"	0012-1622	"Not Available"	3.510	3.717	0.015950
